Name,Title,Company Name,Loc,Url
Saumya Jain,Venture Capital & Debt | Kris Gopalakrishnan Investment Office | Angel Investor @Angellist,Angellist,Bengaluru,https://www.linkedin.com/in/saumya-jain-617147b6
Yash Garg,Angel Investor | 24 | Associate at Inflection Point Ventures,Inflection Point Ventures,Sahibzada Ajit Singh Nagar,https://www.linkedin.com/in/yash-garg-31358b16a
CA Twinkle Kothari,Investment Banking | Angel Investor | Venture Building,Venture Building,"Maharashtra, India",https://www.linkedin.com/in/ca-twinkle-kothari-804268102
Kanika Agarwal,Passionate about building Digital Products | Angel Investor | IIM Alumnus,IIM Alumnus,Gurgaon,https://www.linkedin.com/in/kanika-agarwal-pm
Riyannsh Mundraa,Angel Investor in Tyke Invest | Joules Health - NOCD Energyâš¡Drink | Happy Ratio - All In One Nutrition | Pensil | Vanghee | Alpino,Alpino,"Rajasthan, India",https://www.linkedin.com/in/riyannsh
Puneet Gupt,"COO, Times Internet | Angel Investor & Mentor",Angel Investor & Mentor,"Delhi, India",https://www.linkedin.com/in/puneetgupt
Dr. Kailash C Pinjani,Angel Investor | Growth Mentor | #1 Bestselling Author,#1 Bestselling Author,"Maharashtra, India",https://www.linkedin.com/in/kailashpinjani
Tanmay Goyal,Founder at Triumb | Building Maxclenz | Equity/Angel Investor,Triumb,Jaipur,https://www.linkedin.com/in/tanmaygoyal19
Pratik Jain,Entrepreneur & Angel Investor,Self-employed,Mumbai,https://www.linkedin.com/in/jainpratik
Prakhar J.,Startup Investor,Multiple Startups,Mumbai,https://www.linkedin.com/in/prakhar-j-29305310a
Narayana Swaroop,"Venture Partner- ah! Ventures,Angel Investor,Serial Entrepreneur, Startup Mentor and Founder @ Beatroot Inc",Beatroot Inc,Hyderabad,https://www.linkedin.com/in/narayanaswaroop
Ankit Garg,"Angel Investor, Co-Founder, Faculty@Amity",Amity,South Delhi,https://www.linkedin.com/in/ankitgarg00
Amit Pamnani,Chief Investment Officer - (DGM) at Swastika Investmart Limited | Angel Investor | Mentor,Swastika,Indore,https://www.linkedin.com/in/amit-pamnani23
Rahul Gupta,Operator turned VC | Angel Investor | Co-founder @StepOne,StepOne,Gurgaon,https://www.linkedin.com/in/rahulguptarmv
Ashim Jolly,"Tinkerer | Angel investor | Seasoned operator | ex- WeWork, Haptik","ex- WeWork, Haptik",Mumbai,https://www.linkedin.com/in/ashimjolly
Vivek Arora,Entrepreneur | Angel Investor | Advisor,Advisor,India,https://www.linkedin.com/in/vivek-arora-a951868
Manish Dhingra,"Technologist, Serial Entrepreneur, Angel Investor | CEO and Co-Founder Mediology Software",CEO and Co-Founder Mediology Software,Gurgaon,https://www.linkedin.com/in/dhingramanish
Ajay Deshpande,"Sr Director, Icertis Soln Pvt Ltd., Angel Investor, SucSEED Venture Partners",SucSEED Venture Partners,Pune,https://www.linkedin.com/in/deshpandeajay
"Anurag Jhanwar, MRICS",Founder | Board Advisor | Angel Investor | Startup Mentor,Startup Mentor,Mumbai,https://www.linkedin.com/in/anuragjhanwar
Pramod Jajoo,"SVP Technology and India Country Head @ ShipBob. Ex-SVP at Flipkart. Former CTO of Bigbasket. Startup Advisor, Mentor and Angel Investor.",ShipBob.,Bengaluru,https://www.linkedin.com/in/pramod-jajoo-18ab93
Varun Miglani,Startup & Micro VC Investment | Angel Investor @ AngelBay & Faad Network | Ek Ehsaas Foundation,AngelBay,"Delhi, India",https://www.linkedin.com/in/varunmiglani
Arpit C.,Founding Partner At Meteor Venture | Venture Capital | Angel Investor | Ex- OYO,Ex- OYO,Gurugram,https://www.linkedin.com/in/arpit-c-4b8a6813
Aditi Balbir,"Fellow at LowCarbon.earth, SDG focused Angel Investor, Entrepreneur in Eco-tourism, winner UNWTO 2019","LowCarbon.earth,","Delhi, India",https://www.linkedin.com/in/aditi-balbir-05574738
Poojit Jain,Angel Investor | Growth Hacking | Venture Building,Venture Building,Mumbai,https://www.linkedin.com/in/poojitjain
Hartejjh Sethi,"Auto industry | Angel Investor | Having interest's in Finance, Crypto, Automobile & Community based","Having interest's in Finance, Crypto, Automobile & Community based",Gurugram,https://www.linkedin.com/in/hartejjh
Harshad Lahoti,Seed/Angel/Venture Capital & Private Equity - Mentor | Angel Investor | Serial Entrepreneur | Philanthropist,Philanthropist,Mumbai,https://www.linkedin.com/in/harshadl
Rishi R.S. Bagga,Co-Founder | Advisor | Angel Investor,Angel Investor,Gurgaon,https://www.linkedin.com/in/rishibagga
Ajit Kukreja,Angel Investor,Private Company,Raipur,https://www.linkedin.com/in/ajit-catax
Arjun Nijhawan,Angel Investor at Nijhawan Travel Service,Nijhawan Travel Service,"Delhi, India",https://www.linkedin.com/in/arjun-nijhawan-a4953422
Rahul Raj,Head - B2B & Content (Higher Education) | Angel Investor,Angel Investor,Bengaluru,https://www.linkedin.com/in/rahul-raj-285b1111
ðŸš€ Prashant Pansare,"Global SaaS, Sales, India Growth, Customer Success and Startups - Angel Investor & 4x Entrepreneur",Customer Success and Startups - Angel Investor & 4x Entrepreneur,Bengaluru,https://www.linkedin.com/in/prashantpansare
Rakesh Gupta,Managing Partner LoEstro Advisors | Angel Investor | Co-Founder - Estrolo.com,Co-Founder - Estrolo.com,Hyderabad,https://www.linkedin.com/in/rakeshgupta79
Devaraj Gowdanar,"Managing Director, BlockChain Enthusiast, Angel Investor in Blockchain Space",Angel Investor in Blockchain Space,Bangalore Urban district,https://www.linkedin.com/in/devaraj-gowdanar-a03691aa
Hardeep Singh,Startup and Digital Consultant | IIT Kharagpur Speaker | Angel Investor | Founder at Skyracle Technologies,Skyracle Technologies,Noida,https://www.linkedin.com/in/digital-hardeep
Tarunn K Grover,Angel Investor l Speaker l Managing Director at TTG Ventures Pte Ltd,TTG,"Delhi, India",https://www.linkedin.com/in/tarunkgrover
Piyush Goenka,"Launching a micro VC Fund | Partner, Private Equity Fund | Angel Investor in Digital first brands",Angel Investor in Digital first brands,Mumbai,https://www.linkedin.com/in/piyushgoenka
Siddharth B.,Building Meesho Live | CSE IITB | Angel Investor,Angel Investor,Mumbai,https://www.linkedin.com/in/siddharthbulia
ASHISH DEVGON,Co Founder at Cube Digitech / Angel Investor / Start Up Mentor,Cube,Gurugram,https://www.linkedin.com/in/ashishdevgon
Vijay Amritraj,Tech Investor | Entrepreneur,Entrepreneur,Hyderabad,https://www.linkedin.com/in/vjamritraj
Akash Saxena,A serial entrepreneur and angel investor by profession and a solution architect at heart,heart,Pune,https://www.linkedin.com/in/akash-saxena-10b8194
Abhishek Tyagi,Building: AnyTechTrial.Com | CEO: Value Prospects | Director: Any Tech Ventures | Marketing Consultant | GTM Enablement | Angel Investor,Angel Investor,"Delhi, India",https://www.linkedin.com/in/abhishek-tyagi-at
Amit Ranjan,"Tech Entrepreneur | Prev: CoFounder @SlideShare, Architect @DigiLocker (#IndiaStack), Govt of India | Angel Investor","SlideShare,",Greater Delhi Area,https://www.linkedin.com/in/amitranjanprofile
Munish Bhatia,"General Partner, India Accelerator à¥¤ Mentor à¥¤ Angel Investor à¥¤",India Accelerator à¥¤ Mentor à¥¤ Angel Investor à¥¤,Gurgaon,https://www.linkedin.com/in/munish-bhatia
Karthik Kulkarni,Founder Thinkify Labs | Angel Investor | Flipkart | Adobe | Intuit,Intuit,Bengaluru,https://www.linkedin.com/in/kulkarnikarthik
Ritesh Shergill,Vice President at Penny | Startup Mentor | Angel Investor,Penny,India,https://www.linkedin.com/in/ritesh-shergill-a86a5115
Saurabh Vij,"Founder, CEO of Testovationâ„¢, Mentor, Angel Investor",Angel Investor,Noida,https://www.linkedin.com/in/saurabhvij
Narasimhalu Senthil G,"Enabler of CxO Movement, Executive Search Partner and Angel Investor.",Executive Search Partner and Angel Investor.,Bengaluru,https://www.linkedin.com/in/nsenthil
Anurag C.,Entrepreneur | Angel Investor | Autobiography of a Yogi Enthusiast Talks about # Entrepreneurship # Angel Investing,Autobiography of a Yogi Enthusiast Talks about # Entrepreneurship # Angel Investing,Noida,https://www.linkedin.com/in/anurag-c-519a5110
Chandan Sardeshmukh,"Tech Entrepreneur, Startup Coach and Angel Investor",Startup Coach and Angel Investor,Bengaluru,https://www.linkedin.com/in/chandan-sardeshmukh
Mukul Jain,Founder & CEO at HONO.ai and Angel Investor,HONO.ai,"Delhi, India",https://www.linkedin.com/in/mukul001
Vikas Chawla,"Digital & Growth Marketing Leader, Author, Angel Investor, Co Founder Social Beat & Influencer.in and BC Entrepreneur Award Winner 2020",Co Founder Social Beat & Influencer.in and BC Entrepreneur Award Winner 2020,India,https://www.linkedin.com/in/vikaschawla
Pooja Sarathe,Private Investor at Angel Broking,Angel Broking,Indore,https://www.linkedin.com/in/pooja-sarathe-84b822193
Vivek Shivaswamy,Product @ HireRight | Angel Investor | Product Mentor | IIMB Alum,HireRight,Bengaluru,https://www.linkedin.com/in/vivekshiva
Gagan Gupta,"Founder, Kyt Ventures || Early Stage VC || Top Angel Investor || IE MBA",Kyt Ventures || Early Stage VC || Top Angel Investor || IE MBA,Greater Hyderabad Area,https://www.linkedin.com/in/gaganie
Gaurav Malhotra,Investor/Managing Partner,Mumbai Angels Network,"Delhi, India",https://www.linkedin.com/in/gmalhot
Dinesh Prasad,Co-Founder | Angel Investor | Advisor,Advisor,Gurgaon,https://www.linkedin.com/in/dinesh-prasad-383420
Ankit Agarwal,Founder & CEO at Do Your Thng | Hiring for various roles | Angel investor,Do,Gurugram,https://www.linkedin.com/in/ankittagarwal
Vimal Anbalagan,Serial Entrepreneur | Angel Investor | IIMA | ESSEC Business school,ESSEC Business school,"Delhi, India",https://www.linkedin.com/in/vimal-anbalagan
Yogesh Agarwal,"CEO at Teacurry and Justvedic, Angel Investor",Teacurry,Kolkata,https://www.linkedin.com/in/agarwalyogesh
Anirudh Bagai,"Founder, Lawyer2CAÂ® (Weâ€™re HIRING!)",Lawyer2CAÂ® (Weâ€™re HIRING!),South Delhi,https://www.linkedin.com/in/ca-bagai
Shakti Patel,Angel Investor | Manage @smcorpz | Incubation Funder | Empowering business to grow in rapidly changing market,smcorpz,"Delhi, India",https://www.linkedin.com/in/shaktiprabha
Rajashekhar Banoth,Founding member @OneCode | CXO | Product Leader | Entrepreneur | aspiring Angel Investor,OneCode,Hyderabad,https://www.linkedin.com/in/banoth
Tarun Bhargava,"Founder & Managing Partner at TalentGen Advisory LLP, Angel investor & Limited Partner @ Orios Venture Partners !",Orios,Greater Delhi Area,https://www.linkedin.com/in/tarun-bhargava-90316421
Ankit Agarwal,Managing Partner at Alteria Capital,Alteria Capital,Mumbai,https://www.linkedin.com/in/ankitagarwal1986
Thomas Mathew,Entrepreneur | Angel Investor | Advisor,Advisor,Bengaluru,https://www.linkedin.com/in/hurits
Gautam Kumar,"Co-Founder & COO, FarEye | Angel Investor | MIT TR35",MIT TR35,"Delhi, India",https://www.linkedin.com/in/gautamkr
Subhash Prajapati,Founder ! CEO ! Enterpreneur ! Angel Investor ! Mentor ! Public Speaker ! BLOCKCHAIN ! ICO ! IEO ! STO ADVISER ! MANDATE TO RAISE FUNDING ! 29K Followers !,fund,New Delhi,https://www.linkedin.com/in/subhash-prajapati-94152422
Nitish K Aggarwal,"Probhus Ventures - Investor / Angel Investor, Ex Private Equity at Funds like Everstone Capital, TPG, Quadria, Milestone Religare India Build Out Fund",Funds,Mumbai,https://www.linkedin.com/in/nitishaggarwal
Satya Mahapatra,"Growth & Revenue Consultant | Start-up Mentor | Angel Investor | Servant Leader | Ex- Junglee Games, Gamesys, Bwin.Party","Ex- Junglee Games, Gamesys, Bwin.Party","Delhi, India",https://www.linkedin.com/in/satyamahapatra
Bharat Srivastav,Global Head - Partnerships & Alliances | Mergers & Acquisitions | Angel Investor - Tech only,Angel Investor - Tech only,Gurugram,https://www.linkedin.com/in/bharatsrivastav
Vijay Bhaskar Reddy Dinnepu,Entrepreneur | IIT Madras | Farmer | Angel Investor,Angel Investor,Bengaluru,https://www.linkedin.com/in/vijaybrd
Premanshu Singh,Senior Vice President( Online Payment) @ Paytm/Angel Investor,Paytm/Angel Investor,Mumbai,https://www.linkedin.com/in/premanshu-singh-616b2b12
Dr. Pragat Dutt,"Serial Entrepreneur | Founder : The Pride Hospital , Saamarthya Logistics , The Sigma Labs , The Cube | Angel Investor | IIM-Raipur |",IIM-Raipur |,Gorakhpur,https://www.linkedin.com/in/dr-pragat-dutt-2910121b
Sunil Rao,Head of Strategy and Corporate Business Development at Amazon I Xoogler and Ex Lightspeed Ventures I Angel Investor and mentor to over a dozen early stage startups.,Amazon,Bengaluru,https://www.linkedin.com/in/sunilrao1
Dr.Dinesh Singh,Medical Doctor turned Entrepreneur | Angel Investor | Building Faad Network | Five Elements Wellness.,Five Elements Wellness.,Gurgaon,https://www.linkedin.com/in/dr-dinesh-singh
anand sinha,"co-founder, leap.club | vp, sales? join us","vp, sales? join us","Delhi, India",https://www.linkedin.com/in/anandsinha1
Yasasree Nerayanuri,CX Leader | Startup Advisor | Angel Investor | Freshworks,Freshworks,Chennai,https://www.linkedin.com/in/yasasree
Deepak Gupta,Chief Operating Officer (COO ) at Bombay Shaving Company l Angel investor,Bombay,Gurgaon,https://www.linkedin.com/in/deepakgupta84
Vikash Gaurav Vats,#Entrepreneur #Startup #Recruitment #Blockchain #NFT #Web3 #Agritech #HRTech #AngelInvestment #CoLiving #CoWork #Tea,Startup Angels Network,"Delhi, India",https://www.linkedin.com/in/vikash-gaurav-vats
"Manan Verma, MSc","engineering/leadership at PW, we are hiring.","PW,",New Delhi,https://www.linkedin.com/in/mananverma
Apurva Chamaria (he/him),"Head of Partnership Solutions, Startups & Venture Capital @ Google India, Ex SVP @TechMahindra, Ex CRO @ RateGain , Ex VP & Head of Marketing @ HCL Technologies, Angel Investor & Bestselling Author",Google,South Delhi,https://www.linkedin.com/in/apurvachamaria
Utkarsh Sahu,Director | Entrepreneur | Angel Investor | Sports Enthusiast,Sports Enthusiast,Lucknow,https://www.linkedin.com/in/utkarshsahu27
Lijo Isac,Vice President-Product Management at Byjus | Angel Investor,Byjus,Bengaluru,https://www.linkedin.com/in/lijoisac
Abhinav Gupta,Founder | Impact Entrepreneur | Angel Investor,Angel Investor,West Delhi,https://www.linkedin.com/in/abhinav-gupta-49216721
Gour Gupta,Angel Investor | Start-up Mentor & Advisor | Strategist,Strategist,South Delhi,https://www.linkedin.com/in/gourgupta
Vivek Lodha,Angel Investor | Serial Entrepreneur | Startup Mentor,Startup Mentor,Jaipur,https://www.linkedin.com/in/viveklodha
Hemant Kohli,Entrepreneur & Angel Investor,-,Noida,https://www.linkedin.com/in/hemant-kohli-309386
Ankit Gaur,Director - Business at PhonePe | Angel Investor,PhonePe,Bengaluru,https://www.linkedin.com/in/ankit-gaur
Addison Appu,Early Stage VC II Angel Investor II Ex-HSBC,ThinKuvate,New Delhi,https://www.linkedin.com/in/addison-appu-6a9a34a
Gaurav Aggarwal (Garry),Investment Specialist | Real Estate Enthusiast | Startup Advisor | Angel Investor | Growth Specialist,Growth Specialist,New Delhi,https://www.linkedin.com/in/gaurav-aggarwal-garry-7344ab1ba
Akshit Goyal,"Corporate, Venture Capital and Technology Lawyer | Angel Investor",Angel Investor,South Delhi,https://www.linkedin.com/in/akshitgoyal
Jitender Singh,Entrepreneur and Angel Investor,Bubunu,New Delhi,https://www.linkedin.com/in/jitender-singh-47b5619
Abhijeet Kumar,Co-Founding Partner at ah! Ventures,ah! Ventures,Mumbai,https://www.linkedin.com/in/luckyabhi
Rohit Sharma,"Business Partner, Strategic Advisor, Mentor & Angel Investor,",Simply Natural Inc.,Lucknow,https://www.linkedin.com/in/rohit-sharma-b3704416
Balvinder Singh Kalsi,Angel Investor | Mentor | Adviser,Adviser,Gurgaon,https://www.linkedin.com/in/balvinder-singh-kalsi-07710342
Joy Bhattacharya,Angel Investor || ex-Master (Container ships) -- 20+ years maritime experience ||,Agility Ventures,Varanasi,https://www.linkedin.com/in/joy-bhattacharya-0a5952169
Onkar Tiwari,Angel Investor | Formerly Solana India,Formerly Solana India,West Delhi,https://www.linkedin.com/in/onkar-tiwari
Surjendu Kuila,"Co-Founder, Zopper | Angel Investor",Angel Investor,Noida,https://www.linkedin.com/in/surjendukuila
Saunak Ghosh,Start Up Co-Founder | Angel Investor,Angel Investor,Gurgaon,https://www.linkedin.com/in/saunak-ghosh-60a5824
Abhishek Mittal,Angel Investor | Venture Capital | Wealth Management,Wealth Management,"Delhi, India",https://www.linkedin.com/in/mittalabhi
Rajesh Sehgal,"Angel Investor & Managing Partner, Equanimity Investments @rnsehgal",rnsehgal,Mumbai,https://www.linkedin.com/in/investorrajeshsehgal
Kanika Bhasin,Angel Investor | Venture Capitalist | Entrepreneur | Strategist,Strategist,Mumbai,https://www.linkedin.com/in/kanikabhasin
Anuj Munot,"CEO, URB Ventures | ex-Kalpataru | Angel Investor",Angel Investor,Mumbai,https://www.linkedin.com/in/anujmunot
Hardik Shah,"Deep Tech product business leader, Angel investor , Ex Ati Motors |Tejas Networks| Infinera| Sasken , IITB| IIMB alumnus",IITB| IIMB alumnus,Bengaluru,https://www.linkedin.com/in/hardik-shah-169baa
